[ 2025-09-04 19:49:43,078 ] 26 root - INFO - Initiate the data ingestion
[ 2025-09-04 19:49:47,886 ] 63 root - INFO - Performed train test split
[ 2025-09-04 19:49:47,886 ] 64 root - INFO - Train set length : 8844
[ 2025-09-04 19:49:47,886 ] 65 root - INFO - Test set length : 2211
[ 2025-09-04 19:49:47,886 ] 76 root - INFO - Exporting train and test file path.
[ 2025-09-04 19:49:47,932 ] 81 root - INFO - Exported train and test file path.
[ 2025-09-04 19:49:47,933 ] 28 root - INFO - Data Initiation Completed
[ 2025-09-04 19:49:47,933 ] 33 root - INFO - Initiate the data Validation
[ 2025-09-04 19:49:47,933 ] 74 root - INFO - Starting data validation
[ 2025-09-04 19:49:47,993 ] 34 root - INFO - Required number of columns: 31
[ 2025-09-04 19:49:47,993 ] 35 root - INFO - Dataframe has columns: 31
[ 2025-09-04 19:49:47,993 ] 34 root - INFO - Required number of columns: 31
[ 2025-09-04 19:49:47,993 ] 35 root - INFO - Dataframe has columns: 31
[ 2025-09-04 19:49:48,124 ] 35 root - INFO - data Validation Completed
[ 2025-09-04 19:49:48,138 ] 40 root - INFO - data Transformation started
[ 2025-09-04 19:49:48,138 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-04 19:49:48,138 ] 65 root - INFO - Starting data transformation
[ 2025-09-04 19:49:48,155 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-09-04 19:49:48,155 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-04 19:49:48,159 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-04 19:49:48,159 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-04 19:49:48,159 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-04 19:49:48,159 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-04 19:49:48,159 ] 44 root - INFO - data Transformation completed
[ 2025-09-04 19:49:48,159 ] 46 root - INFO - Model Training sstared
[ 2025-09-04 19:53:11,328 ] 78 root - INFO - this is the detail repor {'Random Forest': 0.8710013502475453, 'Decision Tree': 0.8378302688826285, 'Gradient Boosting': 0.839673106736235, 'Logistic Regression': 0.6922460784477154, 'AdaBoost': 0.7014602677157479}
[ 2025-09-04 19:53:11,328 ] 88 root - INFO - best model is {best_model_score} with score of {best_model_score} 
